都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,40.0,inf,487
北海道,男性,40～44歳,35.0,40.0,1493
北海道,男性,40～44歳,30.0,35.0,6310
北海道,男性,40～44歳,25.0,30.0,24075
北海道,男性,40～44歳,20.0,25.0,42110
北海道,男性,40～44歳,18.5,20.0,5342
北海道,男性,40～44歳,0.0,18.5,2337
青森県,男性,40～44歳,40.0,inf,155
青森県,男性,40～44歳,35.0,40.0,449
青森県,男性,40～44歳,30.0,35.0,1834
青森県,男性,40～44歳,25.0,30.0,6799
青森県,男性,40～44歳,20.0,25.0,10726
青森県,男性,40～44歳,18.5,20.0,1249
青森県,男性,40～44歳,0.0,18.5,523
岩手県,男性,40～44歳,40.0,inf,131
岩手県,男性,40～44歳,35.0,40.0,454
岩手県,男性,40～44歳,30.0,35.0,1859
岩手県,男性,40～44歳,25.0,30.0,7046
岩手県,男性,40～44歳,20.0,25.0,12189
岩手県,男性,40～44歳,18.5,20.0,1600
岩手県,男性,40～44歳,0.0,18.5,716
宮城県,男性,40～44歳,40.0,inf,240
宮城県,男性,40～44歳,35.0,40.0,835
宮城県,男性,40～44歳,30.0,35.0,3565
宮城県,男性,40～44歳,25.0,30.0,14273
宮城県,男性,40～44歳,20.0,25.0,25115
宮城県,男性,40～44歳,18.5,20.0,3179
宮城県,男性,40～44歳,0.0,18.5,1442
秋田県,男性,40～44歳,40.0,inf,88
秋田県,男性,40～44歳,35.0,40.0,290
秋田県,男性,40～44歳,30.0,35.0,1356
秋田県,男性,40～44歳,25.0,30.0,5149
秋田県,男性,40～44歳,20.0,25.0,8798
秋田県,男性,40～44歳,18.5,20.0,1084
秋田県,男性,40～44歳,0.0,18.5,452
山形県,男性,40～44歳,40.0,inf,118
山形県,男性,40～44歳,35.0,40.0,381
山形県,男性,40～44歳,30.0,35.0,1675
山形県,男性,40～44歳,25.0,30.0,6614
山形県,男性,40～44歳,20.0,25.0,12268
山形県,男性,40～44歳,18.5,20.0,1736
山形県,男性,40～44歳,0.0,18.5,798
福島県,男性,40～44歳,40.0,inf,203
福島県,男性,40～44歳,35.0,40.0,651
福島県,男性,40～44歳,30.0,35.0,2722
福島県,男性,40～44歳,25.0,30.0,10414
福島県,男性,40～44歳,20.0,25.0,17774
福島県,男性,40～44歳,18.5,20.0,2298
福島県,男性,40～44歳,0.0,18.5,1038
茨城県,男性,40～44歳,40.0,inf,317
