都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,,,66657
北海道,男性,40～44歳,31.0,inf,12391
北海道,男性,40～44歳,51.0,inf,2904
青森県,男性,40～44歳,,,17074
青森県,男性,40～44歳,31.0,inf,3686
青森県,男性,40～44歳,51.0,inf,955
岩手県,男性,40～44歳,,,18653
岩手県,男性,40～44歳,31.0,inf,4267
岩手県,男性,40～44歳,51.0,inf,1056
宮城県,男性,40～44歳,,,39205
宮城県,男性,40～44歳,31.0,inf,7513
宮城県,男性,40～44歳,51.0,inf,1885
秋田県,男性,40～44歳,,,13507
秋田県,男性,40～44歳,31.0,inf,2948
秋田県,男性,40～44歳,51.0,inf,762
山形県,男性,40～44歳,,,18963
山形県,男性,40～44歳,31.0,inf,3768
山形県,男性,40～44歳,51.0,inf,854
福島県,男性,40～44歳,,,28218
福島県,男性,40～44歳,31.0,inf,5498
福島県,男性,40～44歳,51.0,inf,1341
茨城県,男性,40～44歳,,,46100
茨城県,男性,40～44歳,31.0,inf,8717
茨城県,男性,40～44歳,51.0,inf,2067
栃木県,男性,40～44歳,,,33392
栃木県,男性,40～44歳,31.0,inf,6314
栃木県,男性,40～44歳,51.0,inf,1545
群馬県,男性,40～44歳,,,30794
群馬県,男性,40～44歳,31.0,inf,5576
群馬県,男性,40～44歳,51.0,inf,1195
埼玉県,男性,40～44歳,,,120495
埼玉県,男性,40～44歳,31.0,inf,21727
埼玉県,男性,40～44歳,51.0,inf,5137
千葉県,男性,40～44歳,,,98850
千葉県,男性,40～44歳,31.0,inf,17875
千葉県,男性,40～44歳,51.0,inf,4351
東京都,男性,40～44歳,,,261389
東京都,男性,40～44歳,31.0,inf,48247
東京都,男性,40～44歳,51.0,inf,11656
神奈川県,男性,40～44歳,,,156707
神奈川県,男性,40～44歳,31.0,inf,28202
神奈川県,男性,40～44歳,51.0,inf,6677
新潟県,男性,40～44歳,,,38529
新潟県,男性,40～44歳,31.0,inf,6851
新潟県,男性,40～44歳,51.0,inf,1519
富山県,男性,40～44歳,,,18726
富山県,男性,40～44歳,31.0,inf,3052
富山県,男性,40～44歳,51.0,inf,684
石川県,男性,40～44歳,,,19187
石川県,男性,40～44歳,31.0,inf,3103
石川県,男性,40～44歳,51.0,inf,714
福井県,男性,40～44歳,,,13296
福井県,男性,40～44歳,31.0,inf,2032
福井県,男性,40～44歳,51.0,inf,452
山梨県,男性,40～44歳,,,12988
山梨県,男性,40～44歳,31.0,inf,2172
山梨県,男性,40～44歳,51.0,inf,482
長野県,男性,40～44歳,,,34944
長野県,男性,40～44歳,31.0,inf,5520
長野県,男性,40～44歳,51.0,inf,1170
岐阜県,男性,40～44歳,,,33318
岐阜県,男性,40～44歳,31.0,inf,5011
岐阜県,男性,40～44歳,51.0,inf,1051
静岡県,男性,40～44歳,,,63989
静岡県,男性,40～44歳,31.0,inf,9945
静岡県,男性,40～44歳,51.0,inf,2294
愛知県,男性,40～44歳,,,143953
愛知県,男性,40～44歳,31.0,inf,21207
愛知県,男性,40～44歳,51.0,inf,4882
三重県,男性,40～44歳,,,29107
三重県,男性,40～44歳,31.0,inf,4742
三重県,男性,40～44歳,51.0,inf,1018
滋賀県,男性,40～44歳,,,25417
滋賀県,男性,40～44歳,31.0,inf,3895
滋賀県,男性,40～44歳,51.0,inf,811
京都府,男性,40～44歳,,,37787
京都府,男性,40～44歳,31.0,inf,5679
京都府,男性,40～44歳,51.0,inf,1213
大阪府,男性,40～44歳,,,125716
大阪府,男性,40～44歳,31.0,inf,21241
大阪府,男性,40～44歳,51.0,inf,4866
兵庫県,男性,40～44歳,,,81668
兵庫県,男性,40～44歳,31.0,inf,13277
兵庫県,男性,40～44歳,51.0,inf,2977
奈良県,男性,40～44歳,,,17222
奈良県,男性,40～44歳,31.0,inf,2739
奈良県,男性,40～44歳,51.0,inf,597
和歌山県,男性,40～44歳,,,11940
和歌山県,男性,40～44歳,31.0,inf,2128
和歌山県,男性,40～44歳,51.0,inf,433
鳥取県,男性,40～44歳,,,8330
鳥取県,男性,40～44歳,31.0,inf,1373
鳥取県,男性,40～44歳,51.0,inf,306
島根県,男性,40～44歳,,,10573
島根県,男性,40～44歳,31.0,inf,1867
島根県,男性,40～44歳,51.0,inf,413
岡山県,男性,40～44歳,,,29657
岡山県,男性,40～44歳,31.0,inf,4594
岡山県,男性,40～44歳,51.0,inf,952
