都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,0.0,35.0,1640
北海道,男性,40～44歳,35.0,40.0,4465
北海道,男性,40～44歳,40.0,inf,75822
青森県,男性,40～44歳,0.0,35.0,368
青森県,男性,40～44歳,35.0,40.0,989
青森県,男性,40～44歳,40.0,inf,20358
岩手県,男性,40～44歳,0.0,35.0,433
岩手県,男性,40～44歳,35.0,40.0,1225
岩手県,男性,40～44歳,40.0,inf,22317
宮城県,男性,40～44歳,0.0,35.0,930
宮城県,男性,40～44歳,35.0,40.0,2566
宮城県,男性,40～44歳,40.0,inf,45107
秋田県,男性,40～44歳,0.0,35.0,342
秋田県,男性,40～44歳,35.0,40.0,820
秋田県,男性,40～44歳,40.0,inf,16055
山形県,男性,40～44歳,0.0,35.0,400
山形県,男性,40～44歳,35.0,40.0,1177
山形県,男性,40～44歳,40.0,inf,22008
福島県,男性,40～44歳,0.0,35.0,675
福島県,男性,40～44歳,35.0,40.0,1975
福島県,男性,40～44歳,40.0,inf,32415
茨城県,男性,40～44歳,0.0,35.0,1084
茨城県,男性,40～44歳,35.0,40.0,3155
茨城県,男性,40～44歳,40.0,inf,52651
栃木県,男性,40～44歳,0.0,35.0,776
栃木県,男性,40～44歳,35.0,40.0,2242
栃木県,男性,40～44歳,40.0,inf,38235
群馬県,男性,40～44歳,0.0,35.0,693
群馬県,男性,40～44歳,35.0,40.0,1952
群馬県,男性,40～44歳,40.0,inf,34897
埼玉県,男性,40～44歳,0.0,35.0,2814
埼玉県,男性,40～44歳,35.0,40.0,7830
埼玉県,男性,40～44歳,40.0,inf,136723
千葉県,男性,40～44歳,0.0,35.0,2224
千葉県,男性,40～44歳,35.0,40.0,6390
千葉県,男性,40～44歳,40.0,inf,112471
東京都,男性,40～44歳,0.0,35.0,6053
東京都,男性,40～44歳,35.0,40.0,17182
東京都,男性,40～44歳,40.0,inf,298063
神奈川県,男性,40～44歳,0.0,35.0,3338
神奈川県,男性,40～44歳,35.0,40.0,9734
神奈川県,男性,40～44歳,40.0,inf,178472
新潟県,男性,40～44歳,0.0,35.0,837
新潟県,男性,40～44歳,35.0,40.0,2481
新潟県,男性,40～44歳,40.0,inf,43586
富山県,男性,40～44歳,0.0,35.0,364
富山県,男性,40～44歳,35.0,40.0,1043
富山県,男性,40～44歳,40.0,inf,21054
石川県,男性,40～44歳,0.0,35.0,423
石川県,男性,40～44歳,35.0,40.0,1119
石川県,男性,40～44歳,40.0,inf,21463
福井県,男性,40～44歳,0.0,35.0,301
福井県,男性,40～44歳,35.0,40.0,726
福井県,男性,40～44歳,40.0,inf,14753
山梨県,男性,40～44歳,0.0,35.0,295
山梨県,男性,40～44歳,35.0,40.0,897
山梨県,男性,40～44歳,40.0,inf,14466
