都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,8.4,inf,566
北海道,男性,40～44歳,8.0,8.4,157
北海道,男性,40～44歳,6.5,8.0,1446
北海道,男性,40～44歳,6.0,6.5,2359
北海道,男性,40～44歳,5.6,6.0,12700
北海道,男性,40～44歳,0.0,5.6,41235
青森県,男性,40～44歳,8.4,inf,120
青森県,男性,40～44歳,8.0,8.4,28
青森県,男性,40～44歳,6.5,8.0,305
青森県,男性,40～44歳,6.0,6.5,449
青森県,男性,40～44歳,5.6,6.0,2073
青森県,男性,40～44歳,0.0,5.6,7105
岩手県,男性,40～44歳,8.4,inf,123
岩手県,男性,40～44歳,8.0,8.4,41
岩手県,男性,40～44歳,6.5,8.0,373
岩手県,男性,40～44歳,6.0,6.5,566
岩手県,男性,40～44歳,5.6,6.0,3031
岩手県,男性,40～44歳,0.0,5.6,10473
宮城県,男性,40～44歳,8.4,inf,300
宮城県,男性,40～44歳,8.0,8.4,82
宮城県,男性,40～44歳,6.5,8.0,848
宮城県,男性,40～44歳,6.0,6.5,1752
宮城県,男性,40～44歳,5.6,6.0,9626
宮城県,男性,40～44歳,0.0,5.6,17737
秋田県,男性,40～44歳,8.4,inf,91
秋田県,男性,40～44歳,8.0,8.4,25
秋田県,男性,40～44歳,6.5,8.0,216
秋田県,男性,40～44歳,6.0,6.5,371
秋田県,男性,40～44歳,5.6,6.0,1928
秋田県,男性,40～44歳,0.0,5.6,6532
山形県,男性,40～44歳,8.4,inf,104
山形県,男性,40～44歳,8.0,8.4,42
山形県,男性,40～44歳,6.5,8.0,288
山形県,男性,40～44歳,6.0,6.5,575
山形県,男性,40～44歳,5.6,6.0,3056
山形県,男性,40～44歳,0.0,5.6,8992
福島県,男性,40～44歳,8.4,inf,227
福島県,男性,40～44歳,8.0,8.4,44
福島県,男性,40～44歳,6.5,8.0,501
福島県,男性,40～44歳,6.0,6.5,952
福島県,男性,40～44歳,5.6,6.0,4621
福島県,男性,40～44歳,0.0,5.6,13493
茨城県,男性,40～44歳,8.4,inf,499
茨城県,男性,40～44歳,8.0,8.4,128
茨城県,男性,40～44歳,6.5,8.0,1210
茨城県,男性,40～44歳,6.0,6.5,2096
茨城県,男性,40～44歳,5.6,6.0,11517
茨城県,男性,40～44歳,0.0,5.6,30733
栃木県,男性,40～44歳,8.4,inf,327
栃木県,男性,40～44歳,8.0,8.4,81
栃木県,男性,40～44歳,6.5,8.0,731
栃木県,男性,40～44歳,6.0,6.5,1247
栃木県,男性,40～44歳,5.6,6.0,6544
栃木県,男性,40～44歳,0.0,5.6,19885
群馬県,男性,40～44歳,8.4,inf,272
群馬県,男性,40～44歳,8.0,8.4,68
群馬県,男性,40～44歳,6.5,8.0,706
群馬県,男性,40～44歳,6.0,6.5,1261
群馬県,男性,40～44歳,5.6,6.0,6797
群馬県,男性,40～44歳,0.0,5.6,18107
埼玉県,男性,40～44歳,8.4,inf,1149
埼玉県,男性,40～44歳,8.0,8.4,240
埼玉県,男性,40～44歳,6.5,8.0,2473
埼玉県,男性,40～44歳,6.0,6.5,4243
埼玉県,男性,40～44歳,5.6,6.0,24654
埼玉県,男性,40～44歳,0.0,5.6,80348
千葉県,男性,40～44歳,8.4,inf,966
千葉県,男性,40～44歳,8.0,8.4,250
千葉県,男性,40～44歳,6.5,8.0,2273
千葉県,男性,40～44歳,6.0,6.5,3891
千葉県,男性,40～44歳,5.6,6.0,22437
千葉県,男性,40～44歳,0.0,5.6,67544
東京都,男性,40～44歳,8.4,inf,2144
東京都,男性,40～44歳,8.0,8.4,518
東京都,男性,40～44歳,6.5,8.0,5133
東京都,男性,40～44歳,6.0,6.5,8509
東京都,男性,40～44歳,5.6,6.0,51645
東京都,男性,40～44歳,0.0,5.6,200215
神奈川県,男性,40～44歳,8.4,inf,1341
神奈川県,男性,40～44歳,8.0,8.4,290
神奈川県,男性,40～44歳,6.5,8.0,3162
神奈川県,男性,40～44歳,6.0,6.5,5330
神奈川県,男性,40～44歳,5.6,6.0,32543
神奈川県,男性,40～44歳,0.0,5.6,114044
新潟県,男性,40～44歳,8.4,inf,177
新潟県,男性,40～44歳,8.0,8.4,64
新潟県,男性,40～44歳,6.5,8.0,559
新潟県,男性,40～44歳,6.0,6.5,1009
新潟県,男性,40～44歳,5.6,6.0,6108
新潟県,男性,40～44歳,0.0,5.6,17993
富山県,男性,40～44歳,8.4,inf,152
富山県,男性,40～44歳,8.0,8.4,40
富山県,男性,40～44歳,6.5,8.0,431
富山県,男性,40～44歳,6.0,6.5,911
富山県,男性,40～44歳,5.6,6.0,5312
富山県,男性,40～44歳,0.0,5.6,10734
石川県,男性,40～44歳,8.4,inf,159
石川県,男性,40～44歳,8.0,8.4,56
石川県,男性,40～44歳,6.5,8.0,471
石川県,男性,40～44歳,6.0,6.5,1065
石川県,男性,40～44歳,5.6,6.0,6327
石川県,男性,40～44歳,0.0,5.6,12405
福井県,男性,40～44歳,8.4,inf,121
福井県,男性,40～44歳,8.0,8.4,27
福井県,男性,40～44歳,6.5,8.0,266
福井県,男性,40～44歳,6.0,6.5,495
福井県,男性,40～44歳,5.6,6.0,2961
福井県,男性,40～44歳,0.0,5.6,9310
山梨県,男性,40～44歳,8.4,inf,112
山梨県,男性,40～44歳,8.0,8.4,25
山梨県,男性,40～44歳,6.5,8.0,293
山梨県,男性,40～44歳,6.0,6.5,777
山梨県,男性,40～44歳,5.6,6.0,4350
山梨県,男性,40～44歳,0.0,5.6,6740
長野県,男性,40～44歳,8.4,inf,203
長野県,男性,40～44歳,8.0,8.4,54
長野県,男性,40～44歳,6.5,8.0,619
長野県,男性,40～44歳,6.0,6.5,1395
長野県,男性,40～44歳,5.6,6.0,8235
長野県,男性,40～44歳,0.0,5.6,21858
岐阜県,男性,40～44歳,8.4,inf,279
岐阜県,男性,40～44歳,8.0,8.4,64
岐阜県,男性,40～44歳,6.5,8.0,656
岐阜県,男性,40～44歳,6.0,6.5,1228
岐阜県,男性,40～44歳,5.6,6.0,7743
岐阜県,男性,40～44歳,0.0,5.6,24108
静岡県,男性,40～44歳,8.4,inf,461
静岡県,男性,40～44歳,8.0,8.4,107
静岡県,男性,40～44歳,6.5,8.0,1200
静岡県,男性,40～44歳,6.0,6.5,2693
静岡県,男性,40～44歳,5.6,6.0,15293
静岡県,男性,40～44歳,0.0,5.6,32094
愛知県,男性,40～44歳,8.4,inf,1072
愛知県,男性,40～44歳,8.0,8.4,278
愛知県,男性,40～44歳,6.5,8.0,2795
愛知県,男性,40～44歳,6.0,6.5,5160
愛知県,男性,40～44歳,5.6,6.0,31079
