都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,180.0,inf,4836
北海道,男性,40～44歳,160.0,180.0,7958
北海道,男性,40～44歳,140.0,160.0,14689
北海道,男性,40～44歳,120.0,140.0,20193
北海道,男性,40～44歳,100.0,120.0,18756
北海道,男性,40～44歳,0.0,100.0,15157
青森県,男性,40～44歳,180.0,inf,1474
青森県,男性,40～44歳,160.0,180.0,2296
青森県,男性,40～44歳,140.0,160.0,3934
青森県,男性,40～44歳,120.0,140.0,5295
青森県,男性,40～44歳,100.0,120.0,4748
青森県,男性,40～44歳,0.0,100.0,3961
岩手県,男性,40～44歳,180.0,inf,1165
岩手県,男性,40～44歳,160.0,180.0,1954
岩手県,男性,40～44歳,140.0,160.0,3947
岩手県,男性,40～44歳,120.0,140.0,5733
岩手県,男性,40～44歳,100.0,120.0,5901
岩手県,男性,40～44歳,0.0,100.0,5260
宮城県,男性,40～44歳,180.0,inf,2855
宮城県,男性,40～44歳,160.0,180.0,4625
宮城県,男性,40～44歳,140.0,160.0,8756
宮城県,男性,40～44歳,120.0,140.0,11988
宮城県,男性,40～44歳,100.0,120.0,11106
宮城県,男性,40～44歳,0.0,100.0,9217
秋田県,男性,40～44歳,180.0,inf,912
秋田県,男性,40～44歳,160.0,180.0,1538
秋田県,男性,40～44歳,140.0,160.0,2910
秋田県,男性,40～44歳,120.0,140.0,4224
秋田県,男性,40～44歳,100.0,120.0,4028
秋田県,男性,40～44歳,0.0,100.0,3500
山形県,男性,40～44歳,180.0,inf,1348
山形県,男性,40～44歳,160.0,180.0,2123
山形県,男性,40～44歳,140.0,160.0,4256
山形県,男性,40～44歳,120.0,140.0,5801
山形県,男性,40～44歳,100.0,120.0,5460
山形県,男性,40～44歳,0.0,100.0,4462
福島県,男性,40～44歳,180.0,inf,2034
福島県,男性,40～44歳,160.0,180.0,3182
福島県,男性,40～44歳,140.0,160.0,6113
福島県,男性,40～44歳,120.0,140.0,8597
福島県,男性,40～44歳,100.0,120.0,8090
福島県,男性,40～44歳,0.0,100.0,6851
茨城県,男性,40～44歳,180.0,inf,3248
茨城県,男性,40～44歳,160.0,180.0,5475
茨城県,男性,40～44歳,140.0,160.0,10344
茨城県,男性,40～44歳,120.0,140.0,14006
茨城県,男性,40～44歳,100.0,120.0,13176
茨城県,男性,40～44歳,0.0,100.0,10526
栃木県,男性,40～44歳,180.0,inf,2333
栃木県,男性,40～44歳,160.0,180.0,3769
栃木県,男性,40～44歳,140.0,160.0,7175
栃木県,男性,40～44歳,120.0,140.0,10189
栃木県,男性,40～44歳,100.0,120.0,9705
栃木県,男性,40～44歳,0.0,100.0,8031
群馬県,男性,40～44歳,180.0,inf,2126
群馬県,男性,40～44歳,160.0,180.0,3467
群馬県,男性,40～44歳,140.0,160.0,6616
群馬県,男性,40～44歳,120.0,140.0,9241
群馬県,男性,40～44歳,100.0,120.0,8891
群馬県,男性,40～44歳,0.0,100.0,7130
埼玉県,男性,40～44歳,180.0,inf,8954
埼玉県,男性,40～44歳,160.0,180.0,14196
埼玉県,男性,40～44歳,140.0,160.0,26782
埼玉県,男性,40～44歳,120.0,140.0,36462
埼玉県,男性,40～44歳,100.0,120.0,33674
埼玉県,男性,40～44歳,0.0,100.0,26978
千葉県,男性,40～44歳,180.0,inf,7747
千葉県,男性,40～44歳,160.0,180.0,11971
千葉県,男性,40～44歳,140.0,160.0,22368
千葉県,男性,40～44歳,120.0,140.0,29777
千葉県,男性,40～44歳,100.0,120.0,27293
千葉県,男性,40～44歳,0.0,100.0,21591
東京都,男性,40～44歳,180.0,inf,18699
東京都,男性,40～44歳,160.0,180.0,30560
東京都,男性,40～44歳,140.0,160.0,58377
東京都,男性,40～44歳,120.0,140.0,79838
東京都,男性,40～44歳,100.0,120.0,73482
東京都,男性,40～44歳,0.0,100.0,59497
神奈川県,男性,40～44歳,180.0,inf,11269
神奈川県,男性,40～44歳,160.0,180.0,18514
神奈川県,男性,40～44歳,140.0,160.0,35290
神奈川県,男性,40～44歳,120.0,140.0,47717
神奈川県,男性,40～44歳,100.0,120.0,43997
神奈川県,男性,40～44歳,0.0,100.0,34528
新潟県,男性,40～44歳,180.0,inf,2602
新潟県,男性,40～44歳,160.0,180.0,4376
新潟県,男性,40～44歳,140.0,160.0,8419
新潟県,男性,40～44歳,120.0,140.0,11635
新潟県,男性,40～44歳,100.0,120.0,10936
新潟県,男性,40～44歳,0.0,100.0,8884
富山県,男性,40～44歳,180.0,inf,1192
富山県,男性,40～44歳,160.0,180.0,2069
富山県,男性,40～44歳,140.0,160.0,3985
富山県,男性,40～44歳,120.0,140.0,5443
富山県,男性,40～44歳,100.0,120.0,5190
富山県,男性,40～44歳,0.0,100.0,4567
石川県,男性,40～44歳,180.0,inf,1157
石川県,男性,40～44歳,160.0,180.0,1937
石川県,男性,40～44歳,140.0,160.0,3844
石川県,男性,40～44歳,120.0,140.0,5638
石川県,男性,40～44歳,100.0,120.0,5533
石川県,男性,40～44歳,0.0,100.0,4882
福井県,男性,40～44歳,180.0,inf,799
福井県,男性,40～44歳,160.0,180.0,1353
福井県,男性,40～44歳,140.0,160.0,2767
福井県,男性,40～44歳,120.0,140.0,3885
