都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,90.0,inf,1722
北海道,男性,40～44歳,60.0,90.0,7459
北海道,男性,40～44歳,45.0,60.0,326
北海道,男性,40～44歳,30.0,45.0,12
北海道,男性,40～44歳,0.0,30.0,14
青森県,男性,40～44歳,90.0,inf,362
青森県,男性,40～44歳,60.0,90.0,1891
青森県,男性,40～44歳,45.0,60.0,110
青森県,男性,40～44歳,30.0,45.0,-
青森県,男性,40～44歳,0.0,30.0,-
岩手県,男性,40～44歳,90.0,inf,346
岩手県,男性,40～44歳,60.0,90.0,2041
岩手県,男性,40～44歳,45.0,60.0,110
岩手県,男性,40～44歳,30.0,45.0,-
岩手県,男性,40～44歳,0.0,30.0,-
宮城県,男性,40～44歳,90.0,inf,990
宮城県,男性,40～44歳,60.0,90.0,3827
宮城県,男性,40～44歳,45.0,60.0,154
宮城県,男性,40～44歳,30.0,45.0,-
宮城県,男性,40～44歳,0.0,30.0,-
秋田県,男性,40～44歳,90.0,inf,259
秋田県,男性,40～44歳,60.0,90.0,1266
秋田県,男性,40～44歳,45.0,60.0,69
秋田県,男性,40～44歳,30.0,45.0,-
秋田県,男性,40～44歳,0.0,30.0,-
山形県,男性,40～44歳,90.0,inf,298
山形県,男性,40～44歳,60.0,90.0,1358
山形県,男性,40～44歳,45.0,60.0,54
山形県,男性,40～44歳,30.0,45.0,-
山形県,男性,40～44歳,0.0,30.0,-
福島県,男性,40～44歳,90.0,inf,533
福島県,男性,40～44歳,60.0,90.0,2308
福島県,男性,40～44歳,45.0,60.0,82
福島県,男性,40～44歳,30.0,45.0,-
福島県,男性,40～44歳,0.0,30.0,-
茨城県,男性,40～44歳,90.0,inf,1070
茨城県,男性,40～44歳,60.0,90.0,5306
茨城県,男性,40～44歳,45.0,60.0,240
茨城県,男性,40～44歳,30.0,45.0,-
茨城県,男性,40～44歳,0.0,30.0,-
栃木県,男性,40～44歳,90.0,inf,670
栃木県,男性,40～44歳,60.0,90.0,2907
栃木県,男性,40～44歳,45.0,60.0,117
栃木県,男性,40～44歳,30.0,45.0,-
栃木県,男性,40～44歳,0.0,30.0,-
群馬県,男性,40～44歳,90.0,inf,366
群馬県,男性,40～44歳,60.0,90.0,2095
群馬県,男性,40～44歳,45.0,60.0,122
群馬県,男性,40～44歳,30.0,45.0,-
群馬県,男性,40～44歳,0.0,30.0,-
埼玉県,男性,40～44歳,90.0,inf,2295
埼玉県,男性,40～44歳,60.0,90.0,9872
埼玉県,男性,40～44歳,45.0,60.0,404
埼玉県,男性,40～44歳,30.0,45.0,12
埼玉県,男性,40～44歳,0.0,30.0,-
千葉県,男性,40～44歳,90.0,inf,2144
千葉県,男性,40～44歳,60.0,90.0,9428
千葉県,男性,40～44歳,45.0,60.0,371
千葉県,男性,40～44歳,30.0,45.0,-
千葉県,男性,40～44歳,0.0,30.0,-
東京都,男性,40～44歳,90.0,inf,7013
東京都,男性,40～44歳,60.0,90.0,29153
東京都,男性,40～44歳,45.0,60.0,1180
東京都,男性,40～44歳,30.0,45.0,48
東京都,男性,40～44歳,0.0,30.0,31
