都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,,,58057
北海道,男性,40～44歳,51.0,inf,16276
北海道,男性,40～44歳,101.0,inf,7601
青森県,男性,40～44歳,,,14121
青森県,男性,40～44歳,51.0,inf,4777
青森県,男性,40～44歳,101.0,inf,2799
岩手県,男性,40～44歳,,,16164
岩手県,男性,40～44歳,51.0,inf,5051
岩手県,男性,40～44歳,101.0,inf,2751
宮城県,男性,40～44歳,,,33799
宮城県,男性,40～44歳,51.0,inf,9857
宮城県,男性,40～44歳,101.0,inf,4931
秋田県,男性,40～44歳,,,11326
秋田県,男性,40～44歳,51.0,inf,3769
秋田県,男性,40～44歳,101.0,inf,2113
山形県,男性,40～44歳,,,16564
山形県,男性,40～44歳,51.0,inf,4678
山形県,男性,40～44歳,101.0,inf,2335
福島県,男性,40～44歳,,,24684
福島県,男性,40～44歳,51.0,inf,6924
福島県,男性,40～44歳,101.0,inf,3443
茨城県,男性,40～44歳,,,41361
茨城県,男性,40～44歳,51.0,inf,10648
茨城県,男性,40～44歳,101.0,inf,4849
栃木県,男性,40～44歳,,,30068
栃木県,男性,40～44歳,51.0,inf,7668
栃木県,男性,40～44歳,101.0,inf,3501
群馬県,男性,40～44歳,,,28169
群馬県,男性,40～44歳,51.0,inf,6596
群馬県,男性,40～44歳,101.0,inf,2766
埼玉県,男性,40～44歳,,,108879
埼玉県,男性,40～44歳,51.0,inf,26356
埼玉県,男性,40～44歳,101.0,inf,12086
千葉県,男性,40～44歳,,,88731
千葉県,男性,40～44歳,51.0,inf,22011
千葉県,男性,40～44歳,101.0,inf,10275
東京都,男性,40～44歳,,,234065
東京都,男性,40～44歳,51.0,inf,58708
東京都,男性,40～44歳,101.0,inf,28401
神奈川県,男性,40～44歳,,,141346
神奈川県,男性,40～44歳,51.0,inf,34017
神奈川県,男性,40～44歳,101.0,inf,16081
新潟県,男性,40～44歳,,,34088
新潟県,男性,40～44歳,51.0,inf,8636
新潟県,男性,40～44歳,101.0,inf,4157
富山県,男性,40～44歳,,,16866
富山県,男性,40～44歳,51.0,inf,3848
富山県,男性,40～44歳,101.0,inf,1736
石川県,男性,40～44歳,,,17286
石川県,男性,40～44歳,51.0,inf,3942
石川県,男性,40～44歳,101.0,inf,1774
福井県,男性,40～44歳,,,11893
福井県,男性,40～44歳,51.0,inf,2615
福井県,男性,40～44歳,101.0,inf,1266
山梨県,男性,40～44歳,,,11617
山梨県,男性,40～44歳,51.0,inf,2763
山梨県,男性,40～44歳,101.0,inf,1259
長野県,男性,40～44歳,,,31187
長野県,男性,40～44歳,51.0,inf,7177
長野県,男性,40～44歳,101.0,inf,3234
岐阜県,男性,40～44歳,,,30490
岐阜県,男性,40～44歳,51.0,inf,6184
岐阜県,男性,40～44歳,101.0,inf,2694
静岡県,男性,40～44歳,,,57654
静岡県,男性,40～44歳,51.0,inf,12840
静岡県,男性,40～44歳,101.0,inf,5709
愛知県,男性,40～44歳,,,130246
愛知県,男性,40～44歳,51.0,inf,27709
愛知県,男性,40～44歳,101.0,inf,12036
三重県,男性,40～44歳,,,26353
三重県,男性,40～44歳,51.0,inf,5862
三重県,男性,40～44歳,101.0,inf,2645
滋賀県,男性,40～44歳,,,23055
滋賀県,男性,40～44歳,51.0,inf,4841
滋賀県,男性,40～44歳,101.0,inf,2224
京都府,男性,40～44歳,,,33999
京都府,男性,40～44歳,51.0,inf,7325
京都府,男性,40～44歳,101.0,inf,3349
大阪府,男性,40～44歳,,,111741
大阪府,男性,40～44歳,51.0,inf,27047
大阪府,男性,40～44歳,101.0,inf,12986
兵庫県,男性,40～44歳,,,72545
兵庫県,男性,40～44歳,51.0,inf,17138
兵庫県,男性,40～44歳,101.0,inf,8202
奈良県,男性,40～44歳,,,15546
奈良県,男性,40～44歳,51.0,inf,3459
奈良県,男性,40～44歳,101.0,inf,1552
和歌山県,男性,40～44歳,,,10694
和歌山県,男性,40～44歳,51.0,inf,2587
和歌山県,男性,40～44歳,101.0,inf,1216
鳥取県,男性,40～44歳,,,7242
鳥取県,男性,40～44歳,51.0,inf,1883
鳥取県,男性,40～44歳,101.0,inf,881
島根県,男性,40～44歳,,,9173
島根県,男性,40～44歳,51.0,inf,2449
島根県,男性,40～44歳,101.0,inf,1227
岡山県,男性,40～44歳,,,26058
岡山県,男性,40～44歳,51.0,inf,6210
岡山県,男性,40～44歳,101.0,inf,2927
広島県,男性,40～44歳,,,38043
広島県,男性,40～44歳,51.0,inf,10171
広島県,男性,40～44歳,101.0,inf,5003
山口県,男性,40～44歳,,,16663
山口県,男性,40～44歳,51.0,inf,4295
山口県,男性,40～44歳,101.0,inf,1997
徳島県,男性,40～44歳,,,9579
徳島県,男性,40～44歳,51.0,inf,2192
徳島県,男性,40～44歳,101.0,inf,993
香川県,男性,40～44歳,,,13358
香川県,男性,40～44歳,51.0,inf,3144
香川県,男性,40～44歳,101.0,inf,1457
愛媛県,男性,40～44歳,,,17816
愛媛県,男性,40～44歳,51.0,inf,4370
愛媛県,男性,40～44歳,101.0,inf,2150
高知県,男性,40～44歳,,,8407
高知県,男性,40～44歳,51.0,inf,2378
高知県,男性,40～44歳,101.0,inf,1235
福岡県,男性,40～44歳,,,68125
福岡県,男性,40～44歳,51.0,inf,18050
福岡県,男性,40～44歳,101.0,inf,9038
佐賀県,男性,40～44歳,,,10286
佐賀県,男性,40～44歳,51.0,inf,2829
佐賀県,男性,40～44歳,101.0,inf,1450
長崎県,男性,40～44歳,,,14243
長崎県,男性,40～44歳,51.0,inf,3936
長崎県,男性,40～44歳,101.0,inf,1979
熊本県,男性,40～44歳,,,22103
熊本県,男性,40～44歳,51.0,inf,6183
