都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,300.0,inf,4091
北海道,男性,40～44歳,150.0,300.0,17950
北海道,男性,40～44歳,0.0,150.0,59867
青森県,男性,40～44歳,300.0,inf,1274
青森県,男性,40～44歳,150.0,300.0,5005
青森県,男性,40～44歳,0.0,150.0,15431
岩手県,男性,40～44歳,300.0,inf,1503
岩手県,男性,40～44歳,150.0,300.0,5903
岩手県,男性,40～44歳,0.0,150.0,16563
宮城県,男性,40～44歳,300.0,inf,2392
宮城県,男性,40～44歳,150.0,300.0,10915
宮城県,男性,40～44歳,0.0,150.0,35278
秋田県,男性,40～44歳,300.0,inf,1188
秋田県,男性,40～44歳,150.0,300.0,4119
秋田県,男性,40～44歳,0.0,150.0,11903
山形県,男性,40～44歳,300.0,inf,1273
山形県,男性,40～44歳,150.0,300.0,5191
山形県,男性,40～44歳,0.0,150.0,17117
福島県,男性,40～44歳,300.0,inf,1827
福島県,男性,40～44歳,150.0,300.0,7741
福島県,男性,40～44歳,0.0,150.0,25490
茨城県,男性,40～44歳,300.0,inf,2928
茨城県,男性,40～44歳,150.0,300.0,12364
茨城県,男性,40～44歳,0.0,150.0,41584
栃木県,男性,40～44歳,300.0,inf,2007
栃木県,男性,40～44歳,150.0,300.0,8885
栃木県,男性,40～44歳,0.0,150.0,30355
群馬県,男性,40～44歳,300.0,inf,1848
群馬県,男性,40～44歳,150.0,300.0,7945
群馬県,男性,40～44歳,0.0,150.0,27741
埼玉県,男性,40～44歳,300.0,inf,6704
埼玉県,男性,40～44歳,150.0,300.0,29410
埼玉県,男性,40～44歳,0.0,150.0,111214
千葉県,男性,40～44歳,300.0,inf,5588
千葉県,男性,40～44歳,150.0,300.0,25105
千葉県,男性,40～44歳,0.0,150.0,90367
東京都,男性,40～44歳,300.0,inf,14817
東京都,男性,40～44歳,150.0,300.0,65652
東京都,男性,40～44歳,0.0,150.0,240754
神奈川県,男性,40～44歳,300.0,inf,8091
神奈川県,男性,40～44歳,150.0,300.0,38187
神奈川県,男性,40～44歳,0.0,150.0,145219
新潟県,男性,40～44歳,300.0,inf,2252
新潟県,男性,40～44歳,150.0,300.0,9460
新潟県,男性,40～44歳,0.0,150.0,35178
富山県,男性,40～44歳,300.0,inf,1092
富山県,男性,40～44歳,150.0,300.0,4660
富山県,男性,40～44歳,0.0,150.0,16704
石川県,男性,40～44歳,300.0,inf,1143
石川県,男性,40～44歳,150.0,300.0,4834
石川県,男性,40～44歳,0.0,150.0,17020
福井県,男性,40～44歳,300.0,inf,855
福井県,男性,40～44歳,150.0,300.0,3422
福井県,男性,40～44歳,0.0,150.0,11500
山梨県,男性,40～44歳,300.0,inf,776
山梨県,男性,40～44歳,150.0,300.0,3157
山梨県,男性,40～44歳,0.0,150.0,11724
長野県,男性,40～44歳,300.0,inf,1859
長野県,男性,40～44歳,150.0,300.0,8447
長野県,男性,40～44歳,0.0,150.0,31246
岐阜県,男性,40～44歳,300.0,inf,1859
岐阜県,男性,40～44歳,150.0,300.0,7895
岐阜県,男性,40～44歳,0.0,150.0,29614
静岡県,男性,40～44歳,300.0,inf,3211
静岡県,男性,40～44歳,150.0,300.0,14660
静岡県,男性,40～44歳,0.0,150.0,58341
愛知県,男性,40～44歳,300.0,inf,7672
愛知県,男性,40～44歳,150.0,300.0,34236
愛知県,男性,40～44歳,0.0,150.0,128084
三重県,男性,40～44歳,300.0,inf,1623
三重県,男性,40～44歳,150.0,300.0,6993
三重県,男性,40～44歳,0.0,150.0,26240
滋賀県,男性,40～44歳,300.0,inf,1348
滋賀県,男性,40～44歳,150.0,300.0,5907
滋賀県,男性,40～44歳,0.0,150.0,22858
京都府,男性,40～44歳,300.0,inf,1967
京都府,男性,40～44歳,150.0,300.0,8333
京都府,男性,40～44歳,0.0,150.0,34371
大阪府,男性,40～44歳,300.0,inf,6989
大阪府,男性,40～44歳,150.0,300.0,29938
大阪府,男性,40～44歳,0.0,150.0,114861
兵庫県,男性,40～44歳,300.0,inf,4504
