都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,180.0,inf,268
北海道,男性,40～44歳,160.0,180.0,1542
北海道,男性,40～44歳,140.0,160.0,8499
北海道,男性,40～44歳,130.0,140.0,13456
北海道,男性,40～44歳,120.0,130.0,23627
北海道,男性,40～44歳,0.0,120.0,34740
青森県,男性,40～44歳,180.0,inf,56
青森県,男性,40～44歳,160.0,180.0,358
青森県,男性,40～44歳,140.0,160.0,2302
青森県,男性,40～44歳,130.0,140.0,4150
青森県,男性,40～44歳,120.0,130.0,6210
青森県,男性,40～44歳,0.0,120.0,8658
岩手県,男性,40～44歳,180.0,inf,69
岩手県,男性,40～44歳,160.0,180.0,464
岩手県,男性,40～44歳,140.0,160.0,2941
岩手県,男性,40～44歳,130.0,140.0,4666
岩手県,男性,40～44歳,120.0,130.0,7443
岩手県,男性,40～44歳,0.0,120.0,8411
宮城県,男性,40～44歳,180.0,inf,176
宮城県,男性,40～44歳,160.0,180.0,976
宮城県,男性,40～44歳,140.0,160.0,5904
宮城県,男性,40～44歳,130.0,140.0,9015
宮城県,男性,40～44歳,120.0,130.0,13363
宮城県,男性,40～44歳,0.0,120.0,19216
秋田県,男性,40～44歳,180.0,inf,51
秋田県,男性,40～44歳,160.0,180.0,348
秋田県,男性,40～44歳,140.0,160.0,2047
秋田県,男性,40～44歳,130.0,140.0,3391
秋田県,男性,40～44歳,120.0,130.0,5107
秋田県,男性,40～44歳,0.0,120.0,6274
山形県,男性,40～44歳,180.0,inf,102
山形県,男性,40～44歳,160.0,180.0,506
山形県,男性,40～44歳,140.0,160.0,2900
山形県,男性,40～44歳,130.0,140.0,3800
山形県,男性,40～44歳,120.0,130.0,6971
山形県,男性,40～44歳,0.0,120.0,9310
福島県,男性,40～44歳,180.0,inf,114
福島県,男性,40～44歳,160.0,180.0,681
福島県,男性,40～44歳,140.0,160.0,3831
福島県,男性,40～44歳,130.0,140.0,6462
福島県,男性,40～44歳,120.0,130.0,10217
福島県,男性,40～44歳,0.0,120.0,13796
茨城県,男性,40～44歳,180.0,inf,176
茨城県,男性,40～44歳,160.0,180.0,1066
茨城県,男性,40～44歳,140.0,160.0,5856
茨城県,男性,40～44歳,130.0,140.0,10113
茨城県,男性,40～44歳,120.0,130.0,16766
茨城県,男性,40～44歳,0.0,120.0,22968
栃木県,男性,40～44歳,180.0,inf,136
栃木県,男性,40～44歳,160.0,180.0,746
栃木県,男性,40～44歳,140.0,160.0,4311
栃木県,男性,40～44歳,130.0,140.0,7068
栃木県,男性,40～44歳,120.0,130.0,11832
栃木県,男性,40～44歳,0.0,120.0,17201
群馬県,男性,40～44歳,180.0,inf,139
群馬県,男性,40～44歳,160.0,180.0,650
群馬県,男性,40～44歳,140.0,160.0,4165
群馬県,男性,40～44歳,130.0,140.0,6260
群馬県,男性,40～44歳,120.0,130.0,11424
群馬県,男性,40～44歳,0.0,120.0,14962
埼玉県,男性,40～44歳,180.0,inf,445
埼玉県,男性,40～44歳,160.0,180.0,2233
埼玉県,男性,40～44歳,140.0,160.0,13869
埼玉県,男性,40～44歳,130.0,140.0,24095
埼玉県,男性,40～44歳,120.0,130.0,42114
埼玉県,男性,40～44歳,0.0,120.0,64765
千葉県,男性,40～44歳,180.0,inf,353
千葉県,男性,40～44歳,160.0,180.0,1733
千葉県,男性,40～44歳,140.0,160.0,10979
千葉県,男性,40～44歳,130.0,140.0,19350
千葉県,男性,40～44歳,120.0,130.0,34590
千葉県,男性,40～44歳,0.0,120.0,54393
東京都,男性,40～44歳,180.0,inf,613
東京都,男性,40～44歳,160.0,180.0,3559
東京都,男性,40～44歳,140.0,160.0,24347
東京都,男性,40～44歳,130.0,140.0,46128
東京都,男性,40～44歳,120.0,130.0,87950
東京都,男性,40～44歳,0.0,120.0,159447
神奈川県,男性,40～44歳,180.0,inf,398
神奈川県,男性,40～44歳,160.0,180.0,2237
神奈川県,男性,40～44歳,140.0,160.0,15180
神奈川県,男性,40～44歳,130.0,140.0,29173
神奈川県,男性,40～44歳,120.0,130.0,53574
神奈川県,男性,40～44歳,0.0,120.0,91214
新潟県,男性,40～44歳,180.0,inf,121
新潟県,男性,40～44歳,160.0,180.0,569
新潟県,男性,40～44歳,140.0,160.0,4105
新潟県,男性,40～44歳,130.0,140.0,6282
新潟県,男性,40～44歳,120.0,130.0,14459
新潟県,男性,40～44歳,0.0,120.0,21379
富山県,男性,40～44歳,180.0,inf,60
富山県,男性,40～44歳,160.0,180.0,315
富山県,男性,40～44歳,140.0,160.0,2306
富山県,男性,40～44歳,130.0,140.0,4385
富山県,男性,40～44歳,120.0,130.0,6655
富山県,男性,40～44歳,0.0,120.0,8757
石川県,男性,40～44歳,180.0,inf,59
石川県,男性,40～44歳,160.0,180.0,372
石川県,男性,40～44歳,140.0,160.0,2401
石川県,男性,40～44歳,130.0,140.0,3926
石川県,男性,40～44歳,120.0,130.0,7208
石川県,男性,40～44歳,0.0,120.0,9040
福井県,男性,40～44歳,180.0,inf,46
福井県,男性,40～44歳,160.0,180.0,257
福井県,男性,40～44歳,140.0,160.0,1660
福井県,男性,40～44歳,130.0,140.0,2807
福井県,男性,40～44歳,120.0,130.0,4976
福井県,男性,40～44歳,0.0,120.0,6037
山梨県,男性,40～44歳,180.0,inf,87
山梨県,男性,40～44歳,160.0,180.0,355
山梨県,男性,40～44歳,140.0,160.0,1934
山梨県,男性,40～44歳,130.0,140.0,2534
山梨県,男性,40～44歳,120.0,130.0,4394
山梨県,男性,40～44歳,0.0,120.0,6415
長野県,男性,40～44歳,180.0,inf,121
長野県,男性,40～44歳,160.0,180.0,612
長野県,男性,40～44歳,140.0,160.0,3742
長野県,男性,40～44歳,130.0,140.0,6575
長野県,男性,40～44歳,120.0,130.0,11875
長野県,男性,40～44歳,0.0,120.0,18737
岐阜県,男性,40～44歳,180.0,inf,113
岐阜県,男性,40～44歳,160.0,180.0,672
岐阜県,男性,40～44歳,140.0,160.0,3538
岐阜県,男性,40～44歳,130.0,140.0,6576
岐阜県,男性,40～44歳,120.0,130.0,11217
岐阜県,男性,40～44歳,0.0,120.0,17275
静岡県,男性,40～44歳,180.0,inf,174
静岡県,男性,40～44歳,160.0,180.0,885
静岡県,男性,40～44歳,140.0,160.0,5820
静岡県,男性,40～44歳,130.0,140.0,9844
静岡県,男性,40～44歳,120.0,130.0,22706
静岡県,男性,40～44歳,0.0,120.0,36983
愛知県,男性,40～44歳,180.0,inf,415
愛知県,男性,40～44歳,160.0,180.0,2334
愛知県,男性,40～44歳,140.0,160.0,15074
愛知県,男性,40～44歳,130.0,140.0,26165
愛知県,男性,40～44歳,120.0,130.0,49732
愛知県,男性,40～44歳,0.0,120.0,76428
三重県,男性,40～44歳,180.0,inf,99
三重県,男性,40～44歳,160.0,180.0,527
三重県,男性,40～44歳,140.0,160.0,3314
三重県,男性,40～44歳,130.0,140.0,5197
三重県,男性,40～44歳,120.0,130.0,10773
三重県,男性,40～44歳,0.0,120.0,14968
滋賀県,男性,40～44歳,180.0,inf,75
滋賀県,男性,40～44歳,160.0,180.0,402
滋賀県,男性,40～44歳,140.0,160.0,2694
滋賀県,男性,40～44歳,130.0,140.0,4719
滋賀県,男性,40～44歳,120.0,130.0,9179
滋賀県,男性,40～44歳,0.0,120.0,13059
京都府,男性,40～44歳,180.0,inf,83
京都府,男性,40～44歳,160.0,180.0,649
京都府,男性,40～44歳,140.0,160.0,3863
京都府,男性,40～44歳,130.0,140.0,7342
京都府,男性,40～44歳,120.0,130.0,12856
京都府,男性,40～44歳,0.0,120.0,19895
大阪府,男性,40～44歳,180.0,inf,422
大阪府,男性,40～44歳,160.0,180.0,2190
大阪府,男性,40～44歳,140.0,160.0,13450
大阪府,男性,40～44歳,130.0,140.0,22900
大阪府,男性,40～44歳,120.0,130.0,42381
大阪府,男性,40～44歳,0.0,120.0,70555
兵庫県,男性,40～44歳,180.0,inf,224
兵庫県,男性,40～44歳,160.0,180.0,1289
兵庫県,男性,40～44歳,140.0,160.0,8440
兵庫県,男性,40～44歳,130.0,140.0,16566
兵庫県,男性,40～44歳,120.0,130.0,28832
兵庫県,男性,40～44歳,0.0,120.0,42606
奈良県,男性,40～44歳,180.0,inf,49
奈良県,男性,40～44歳,160.0,180.0,267
奈良県,男性,40～44歳,140.0,160.0,1816
奈良県,男性,40～44歳,130.0,140.0,3421
奈良県,男性,40～44歳,120.0,130.0,5889
奈良県,男性,40～44歳,0.0,120.0,9118
和歌山県,男性,40～44歳,180.0,inf,45
和歌山県,男性,40～44歳,160.0,180.0,227
和歌山県,男性,40～44歳,140.0,160.0,1567
和歌山県,男性,40～44歳,130.0,140.0,2593
和歌山県,男性,40～44歳,120.0,130.0,4077
和歌山県,男性,40～44歳,0.0,120.0,5991
鳥取県,男性,40～44歳,180.0,inf,25
鳥取県,男性,40～44歳,160.0,180.0,183
鳥取県,男性,40～44歳,140.0,160.0,1108
鳥取県,男性,40～44歳,130.0,140.0,1763
鳥取県,男性,40～44歳,120.0,130.0,2955
鳥取県,男性,40～44歳,0.0,120.0,4013
島根県,男性,40～44歳,180.0,inf,38
島根県,男性,40～44歳,160.0,180.0,243
島根県,男性,40～44歳,140.0,160.0,1409
島根県,男性,40～44歳,130.0,140.0,2200
島根県,男性,40～44歳,120.0,130.0,3536
島根県,男性,40～44歳,0.0,120.0,5427
岡山県,男性,40～44歳,180.0,inf,93
岡山県,男性,40～44歳,160.0,180.0,560
岡山県,男性,40～44歳,140.0,160.0,3447
岡山県,男性,40～44歳,130.0,140.0,5720
岡山県,男性,40～44歳,120.0,130.0,10328
岡山県,男性,40～44歳,0.0,120.0,15057
広島県,男性,40～44歳,180.0,inf,108
広島県,男性,40～44歳,160.0,180.0,715
広島県,男性,40～44歳,140.0,160.0,4856
広島県,男性,40～44歳,130.0,140.0,8676
広島県,男性,40～44歳,120.0,130.0,15447
広島県,男性,40～44歳,0.0,120.0,23461
山口県,男性,40～44歳,180.0,inf,75
山口県,男性,40～44歳,160.0,180.0,377
山口県,男性,40～44歳,140.0,160.0,2195
山口県,男性,40～44歳,130.0,140.0,3963
