都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,,,79345
北海道,男性,40～44歳,,,414
北海道,男性,40～44歳,,,388
北海道,男性,40～44歳,,,390
北海道,男性,40～44歳,,,1457
青森県,男性,40～44歳,,,21002
青森県,男性,40～44歳,,,51
青森県,男性,40～44歳,,,82
青森県,男性,40～44歳,,,79
青森県,男性,40～44歳,,,496
岩手県,男性,40～44歳,,,23087
岩手県,男性,40～44歳,,,50
岩手県,男性,40～44歳,,,135
岩手県,男性,40～44歳,,,97
岩手県,男性,40～44歳,,,550
宮城県,男性,40～44歳,,,46900
宮城県,男性,40～44歳,,,243
宮城県,男性,40～44歳,,,237
宮城県,男性,40～44歳,,,219
宮城県,男性,40～44歳,,,979
秋田県,男性,40～44歳,,,16627
秋田県,男性,40～44歳,,,73
秋田県,男性,40～44歳,,,80
秋田県,男性,40～44歳,,,48
秋田県,男性,40～44歳,,,375
山形県,男性,40～44歳,,,22918
山形県,男性,40～44歳,,,87
山形県,男性,40～44歳,,,77
山形県,男性,40～44歳,,,77
山形県,男性,40～44歳,,,419
福島県,男性,40～44歳,,,33801
福島県,男性,40～44歳,,,141
福島県,男性,40～44歳,,,168
福島県,男性,40～44歳,,,181
福島県,男性,40～44歳,,,743
茨城県,男性,40～44歳,,,54878
茨城県,男性,40～44歳,,,276
茨城県,男性,40～44歳,,,308
茨城県,男性,40～44歳,,,263
茨城県,男性,40～44歳,,,1117
栃木県,男性,40～44歳,,,39728
栃木県,男性,40～44歳,,,199
栃木県,男性,40～44歳,,,189
栃木県,男性,40～44歳,,,269
栃木県,男性,40～44歳,,,770
群馬県,男性,40～44歳,,,36265
群馬県,男性,40～44歳,,,176
群馬県,男性,40～44歳,,,164
群馬県,男性,40～44歳,,,174
群馬県,男性,40～44歳,,,661
埼玉県,男性,40～44歳,,,142795
埼玉県,男性,40～44歳,,,667
埼玉県,男性,40～44歳,,,573
埼玉県,男性,40～44歳,,,561
埼玉県,男性,40～44歳,,,2551
千葉県,男性,40～44歳,,,117286
千葉県,男性,40～44歳,,,565
千葉県,男性,40～44歳,,,502
千葉県,男性,40～44歳,,,477
千葉県,男性,40～44歳,,,2208
東京都,男性,40～44歳,,,312306
東京都,男性,40～44歳,,,1302
東京都,男性,40～44歳,,,1207
東京都,男性,40～44歳,,,1069
東京都,男性,40～44歳,,,4998
神奈川県,男性,40～44歳,,,186115
神奈川県,男性,40～44歳,,,668
神奈川県,男性,40～44歳,,,745
神奈川県,男性,40～44歳,,,676
神奈川県,男性,40～44歳,,,3072
新潟県,男性,40～44歳,,,44928
新潟県,男性,40～44歳,,,228
新潟県,男性,40～44歳,,,192
新潟県,男性,40～44歳,,,158
新潟県,男性,40～44歳,,,801
富山県,男性,40～44歳,,,21914
富山県,男性,40～44歳,,,49
富山県,男性,40～44歳,,,112
富山県,男性,40～44歳,,,194
富山県,男性,40～44歳,,,190
石川県,男性,40～44歳,,,22324
石川県,男性,40～44歳,,,103
石川県,男性,40～44歳,,,99
石川県,男性,40～44歳,,,101
石川県,男性,40～44歳,,,353
福井県,男性,40～44歳,,,15268
福井県,男性,40～44歳,,,60
福井県,男性,40～44歳,,,118
福井県,男性,40～44歳,,,88
福井県,男性,40～44歳,,,236
山梨県,男性,40～44歳,,,15194
山梨県,男性,40～44歳,,,70
山梨県,男性,40～44歳,,,40
山梨県,男性,40～44歳,,,64
山梨県,男性,40～44歳,,,246
長野県,男性,40～44歳,,,40480
長野県,男性,40～44歳,,,145
長野県,男性,40～44歳,,,134
長野県,男性,40～44歳,,,132
