都道府県,性別,年齢区分,検査値範囲,人数
北海道,男性,40～44歳,－,72227
北海道,男性,40～44歳,±,7175
北海道,男性,40～44歳,＋,1961
北海道,男性,40～44歳,＋＋,499
北海道,男性,40～44歳,＋＋＋,141
青森県,男性,40～44歳,－,19051
青森県,男性,40～44歳,±,1868
青森県,男性,40～44歳,＋,580
青森県,男性,40～44歳,＋＋,147
青森県,男性,40～44歳,＋＋＋,64
岩手県,男性,40～44歳,－,22025
岩手県,男性,40～44歳,±,1293
岩手県,男性,40～44歳,＋,458
岩手県,男性,40～44歳,＋＋,119
岩手県,男性,40～44歳,＋＋＋,23
宮城県,男性,40～44歳,－,42779
宮城県,男性,40～44歳,±,4742
宮城県,男性,40～44歳,＋,834
宮城県,男性,40～44歳,＋＋,189
宮城県,男性,40～44歳,＋＋＋,38
秋田県,男性,40～44歳,－,15368
秋田県,男性,40～44歳,±,1383
秋田県,男性,40～44歳,＋,360
秋田県,男性,40～44歳,＋＋,78
秋田県,男性,40～44歳,＋＋＋,18
山形県,男性,40～44歳,－,22354
山形県,男性,40～44歳,±,808
山形県,男性,40～44歳,＋,279
山形県,男性,40～44歳,＋＋,97
山形県,男性,40～44歳,＋＋＋,42
福島県,男性,40～44歳,－,31297
福島県,男性,40～44歳,±,2787
福島県,男性,40～44歳,＋,703
福島県,男性,40～44歳,＋＋,206
福島県,男性,40～44歳,＋＋＋,43
茨城県,男性,40～44歳,－,50210
茨城県,男性,40～44歳,±,5126
茨城県,男性,40～44歳,＋,1101
茨城県,男性,40～44歳,＋＋,309
茨城県,男性,40～44歳,＋＋＋,94
栃木県,男性,40～44歳,－,37241
栃木県,男性,40～44歳,±,2918
栃木県,男性,40～44歳,＋,745
栃木県,男性,40～44歳,＋＋,220
栃木県,男性,40～44歳,＋＋＋,39
群馬県,男性,40～44歳,－,33397
群馬県,男性,40～44歳,±,3101
群馬県,男性,40～44歳,＋,736
群馬県,男性,40～44歳,＋＋,196
群馬県,男性,40～44歳,＋＋＋,49
埼玉県,男性,40～44歳,－,130396
埼玉県,男性,40～44歳,±,12912
埼玉県,男性,40～44歳,＋,3075
埼玉県,男性,40～44歳,＋＋,636
埼玉県,男性,40～44歳,＋＋＋,179
千葉県,男性,40～44歳,－,106068
千葉県,男性,40～44歳,±,11648
千葉県,男性,40～44歳,＋,2618
千葉県,男性,40～44歳,＋＋,593
千葉県,男性,40～44歳,＋＋＋,151
東京都,男性,40～44歳,－,282313
東京都,男性,40～44歳,±,29797
東京都,男性,40～44歳,＋,7027
東京都,男性,40～44歳,＋＋,1399
東京都,男性,40～44歳,＋＋＋,363
神奈川県,男性,40～44歳,－,170592
神奈川県,男性,40～44歳,±,15948
神奈川県,男性,40～44歳,＋,3690
神奈川県,男性,40～44歳,＋＋,843
神奈川県,男性,40～44歳,＋＋＋,253
新潟県,男性,40～44歳,－,42258
新潟県,男性,40～44歳,±,2506
新潟県,男性,40～44歳,＋,1285
新潟県,男性,40～44歳,＋＋,205
新潟県,男性,40～44歳,＋＋＋,60
富山県,男性,40～44歳,－,20468
富山県,男性,40～44歳,±,1316
富山県,男性,40～44歳,＋,521
富山県,男性,40～44歳,＋＋,137
富山県,男性,40～44歳,＋＋＋,19
石川県,男性,40～44歳,－,20179
石川県,男性,40～44歳,±,2114
石川県,男性,40～44歳,＋,540
石川県,男性,40～44歳,＋＋,124
石川県,男性,40～44歳,＋＋＋,23
福井県,男性,40～44歳,－,14270
福井県,男性,40～44歳,±,1060
福井県,男性,40～44歳,＋,331
福井県,男性,40～44歳,＋＋,77
福井県,男性,40～44歳,＋＋＋,25
山梨県,男性,40～44歳,－,13338
山梨県,男性,40～44歳,±,1856
山梨県,男性,40～44歳,＋,323
山梨県,男性,40～44歳,＋＋,73
山梨県,男性,40～44歳,＋＋＋,34
長野県,男性,40～44歳,－,37473
長野県,男性,40～44歳,±,3064
長野県,男性,40～44歳,＋,732
長野県,男性,40～44歳,＋＋,172
長野県,男性,40～44歳,＋＋＋,54
岐阜県,男性,40～44歳,－,34841
岐阜県,男性,40～44歳,±,3420
岐阜県,男性,40～44歳,＋,846
岐阜県,男性,40～44歳,＋＋,190
岐阜県,男性,40～44歳,＋＋＋,50
静岡県,男性,40～44歳,－,69261
静岡県,男性,40～44歳,±,5230
静岡県,男性,40～44歳,＋,1269
静岡県,男性,40～44歳,＋＋,297
静岡県,男性,40～44歳,＋＋＋,122
愛知県,男性,40～44歳,－,152202
愛知県,男性,40～44歳,±,12667
愛知県,男性,40～44歳,＋,3797
愛知県,男性,40～44歳,＋＋,987
愛知県,男性,40～44歳,＋＋＋,292
三重県,男性,40～44歳,－,31579
三重県,男性,40～44歳,±,2458
三重県,男性,40～44歳,＋,592
三重県,男性,40～44歳,＋＋,156
三重県,男性,40～44歳,＋＋＋,55
滋賀県,男性,40～44歳,－,26798
滋賀県,男性,40～44歳,±,2549
滋賀県,男性,40～44歳,＋,514
滋賀県,男性,40～44歳,＋＋,143
滋賀県,男性,40～44歳,＋＋＋,36
京都府,男性,40～44歳,－,38982
京都府,男性,40～44歳,±,4465
京都府,男性,40～44歳,＋,951
京都府,男性,40～44歳,＋＋,200
京都府,男性,40～44歳,＋＋＋,54
大阪府,男性,40～44歳,－,132701
大阪府,男性,40～44歳,±,14221
大阪府,男性,40～44歳,＋,3756
大阪府,男性,40～44歳,＋＋,780
大阪府,男性,40～44歳,＋＋＋,203
兵庫県,男性,40～44歳,－,85456
兵庫県,男性,40～44歳,±,9481
兵庫県,男性,40～44歳,＋,2338
兵庫県,男性,40～44歳,＋＋,451
兵庫県,男性,40～44歳,＋＋＋,124
奈良県,男性,40～44歳,－,17622
奈良県,男性,40～44歳,±,2341
奈良県,男性,40～44歳,＋,470
奈良県,男性,40～44歳,＋＋,89
奈良県,男性,40～44歳,＋＋＋,24
和歌山県,男性,40～44歳,－,12635
和歌山県,男性,40～44歳,±,1415
和歌山県,男性,40～44歳,＋,347
和歌山県,男性,40～44歳,＋＋,58
和歌山県,男性,40～44歳,＋＋＋,24
鳥取県,男性,40～44歳,－,8936
鳥取県,男性,40～44歳,±,808
鳥取県,男性,40～44歳,＋,190
鳥取県,男性,40～44歳,＋＋,52
鳥取県,男性,40～44歳,＋＋＋,18
島根県,男性,40～44歳,－,11398
島根県,男性,40～44歳,±,1022
島根県,男性,40～44歳,＋,342
島根県,男性,40～44歳,＋＋,59
