都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,110.0,inf,902
北海道,男性,40～44歳,100.0,110.0,2330
北海道,男性,40～44歳,90.0,100.0,7681
北海道,男性,40～44歳,85.0,90.0,7761
北海道,男性,40～44歳,80.0,85.0,12423
北海道,男性,40～44歳,0.0,80.0,51028
青森県,男性,40～44歳,110.0,inf,236
青森県,男性,40～44歳,100.0,110.0,744
青森県,男性,40～44歳,90.0,100.0,2700
青森県,男性,40～44歳,85.0,90.0,2897
青森県,男性,40～44歳,80.0,85.0,3929
青森県,男性,40～44歳,0.0,80.0,11227
岩手県,男性,40～44歳,110.0,inf,200
岩手県,男性,40～44歳,100.0,110.0,788
岩手県,男性,40～44歳,90.0,100.0,2545
岩手県,男性,40～44歳,85.0,90.0,2578
岩手県,男性,40～44歳,80.0,85.0,3970
岩手県,男性,40～44歳,0.0,80.0,13912
宮城県,男性,40～44歳,110.0,inf,609
宮城県,男性,40～44歳,100.0,110.0,1743
宮城県,男性,40～44歳,90.0,100.0,5519
宮城県,男性,40～44歳,85.0,90.0,5754
宮城県,男性,40～44歳,80.0,85.0,7985
宮城県,男性,40～44歳,0.0,80.0,27039
秋田県,男性,40～44歳,110.0,inf,201
秋田県,男性,40～44歳,100.0,110.0,647
秋田県,男性,40～44歳,90.0,100.0,1982
秋田県,男性,40～44歳,85.0,90.0,2051
秋田県,男性,40～44歳,80.0,85.0,2922
秋田県,男性,40～44歳,0.0,80.0,9415
山形県,男性,40～44歳,110.0,inf,297
山形県,男性,40～44歳,100.0,110.0,920
山形県,男性,40～44歳,90.0,100.0,2818
山形県,男性,40～44歳,85.0,90.0,2596
山形県,男性,40～44歳,80.0,85.0,4165
山形県,男性,40～44歳,0.0,80.0,12790
福島県,男性,40～44歳,110.0,inf,408
福島県,男性,40～44歳,100.0,110.0,1114
福島県,男性,40～44歳,90.0,100.0,3694
福島県,男性,40～44歳,85.0,90.0,3844
福島県,男性,40～44歳,80.0,85.0,5988
福島県,男性,40～44歳,0.0,80.0,20052
茨城県,男性,40～44歳,110.0,inf,626
茨城県,男性,40～44歳,100.0,110.0,1756
茨城県,男性,40～44歳,90.0,100.0,5595
茨城県,男性,40～44歳,85.0,90.0,6073
茨城県,男性,40～44歳,80.0,85.0,9175
茨城県,男性,40～44歳,0.0,80.0,33718
栃木県,男性,40～44歳,110.0,inf,429
栃木県,男性,40～44歳,100.0,110.0,1335
栃木県,男性,40～44歳,90.0,100.0,4230
栃木県,男性,40～44歳,85.0,90.0,4465
栃木県,男性,40～44歳,80.0,85.0,6660
栃木県,男性,40～44歳,0.0,80.0,24173
群馬県,男性,40～44歳,110.0,inf,465
群馬県,男性,40～44歳,100.0,110.0,1294
群馬県,男性,40～44歳,90.0,100.0,4267
群馬県,男性,40～44歳,85.0,90.0,4021
群馬県,男性,40～44歳,80.0,85.0,6545
群馬県,男性,40～44歳,0.0,80.0,21005
埼玉県,男性,40～44歳,110.0,inf,1538
埼玉県,男性,40～44歳,100.0,110.0,4301
埼玉県,男性,40～44歳,90.0,100.0,13755
埼玉県,男性,40～44歳,85.0,90.0,14472
埼玉県,男性,40～44歳,80.0,85.0,23074
埼玉県,男性,40～44歳,0.0,80.0,90375
千葉県,男性,40～44歳,110.0,inf,1214
千葉県,男性,40～44歳,100.0,110.0,3272
千葉県,男性,40～44歳,90.0,100.0,10911
千葉県,男性,40～44歳,85.0,90.0,11711
千葉県,男性,40～44歳,80.0,85.0,18974
千葉県,男性,40～44歳,0.0,80.0,75315
東京都,男性,40～44歳,110.0,inf,2622
東京都,男性,40～44歳,100.0,110.0,7544
東京都,男性,40～44歳,90.0,100.0,25761
東京都,男性,40～44歳,85.0,90.0,29025
東京都,男性,40～44歳,80.0,85.0,47766
東京都,男性,40～44歳,0.0,80.0,209318
神奈川県,男性,40～44歳,110.0,inf,1513
神奈川県,男性,40～44歳,100.0,110.0,4812
神奈川県,男性,40～44歳,90.0,100.0,15832
神奈川県,男性,40～44歳,85.0,90.0,18403
神奈川県,男性,40～44歳,80.0,85.0,28801
神奈川県,男性,40～44歳,0.0,80.0,122411
新潟県,男性,40～44歳,110.0,inf,433
新潟県,男性,40～44歳,100.0,110.0,1208
新潟県,男性,40～44歳,90.0,100.0,4398
新潟県,男性,40～44歳,85.0,90.0,4466
新潟県,男性,40～44歳,80.0,85.0,8176
新潟県,男性,40～44歳,0.0,80.0,28232
富山県,男性,40～44歳,110.0,inf,231
富山県,男性,40～44歳,100.0,110.0,663
富山県,男性,40～44歳,90.0,100.0,2252
富山県,男性,40～44歳,85.0,90.0,2641
富山県,男性,40～44歳,80.0,85.0,3593
富山県,男性,40～44歳,0.0,80.0,13097
石川県,男性,40～44歳,110.0,inf,245
石川県,男性,40～44歳,100.0,110.0,723
石川県,男性,40～44歳,90.0,100.0,2421
石川県,男性,40～44歳,85.0,90.0,2403
石川県,男性,40～44歳,80.0,85.0,3272
石川県,男性,40～44歳,0.0,80.0,13942
福井県,男性,40～44歳,110.0,inf,144
福井県,男性,40～44歳,100.0,110.0,391
福井県,男性,40～44歳,90.0,100.0,1396
福井県,男性,40～44歳,85.0,90.0,1437
福井県,男性,40～44歳,80.0,85.0,2361
福井県,男性,40～44歳,0.0,80.0,10054
山梨県,男性,40～44歳,110.0,inf,226
山梨県,男性,40～44歳,100.0,110.0,559
山梨県,男性,40～44歳,90.0,100.0,1807
山梨県,男性,40～44歳,85.0,90.0,1729
山梨県,男性,40～44歳,80.0,85.0,2507
山梨県,男性,40～44歳,0.0,80.0,8890
長野県,男性,40～44歳,110.0,inf,401
長野県,男性,40～44歳,100.0,110.0,1218
長野県,男性,40～44歳,90.0,100.0,3879
長野県,男性,40～44歳,85.0,90.0,4033
長野県,男性,40～44歳,80.0,85.0,6467
長野県,男性,40～44歳,0.0,80.0,25663
岐阜県,男性,40～44歳,110.0,inf,387
岐阜県,男性,40～44歳,100.0,110.0,1039
岐阜県,男性,40～44歳,90.0,100.0,3396
岐阜県,男性,40～44歳,85.0,90.0,3914
