都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,126.0,inf,2490
北海道,男性,40～44歳,110.0,126.0,3826
北海道,男性,40～44歳,100.0,110.0,12043
北海道,男性,40～44歳,0.0,100.0,51884
青森県,男性,40～44歳,126.0,inf,854
青森県,男性,40～44歳,110.0,126.0,1441
青森県,男性,40～44歳,100.0,110.0,4162
青森県,男性,40～44歳,0.0,100.0,13723
岩手県,男性,40～44歳,126.0,inf,696
岩手県,男性,40～44歳,110.0,126.0,1122
岩手県,男性,40～44歳,100.0,110.0,3354
岩手県,男性,40～44歳,0.0,100.0,12755
宮城県,男性,40～44歳,126.0,inf,1469
宮城県,男性,40～44歳,110.0,126.0,2972
宮城県,男性,40～44歳,100.0,110.0,9040
宮城県,男性,40～44歳,0.0,100.0,29209
秋田県,男性,40～44歳,126.0,inf,557
秋田県,男性,40～44歳,110.0,126.0,974
秋田県,男性,40～44歳,100.0,110.0,2791
秋田県,男性,40～44歳,0.0,100.0,9636
山形県,男性,40～44歳,126.0,inf,725
山形県,男性,40～44歳,110.0,126.0,1423
山形県,男性,40～44歳,100.0,110.0,4517
山形県,男性,40～44歳,0.0,100.0,14761
福島県,男性,40～44歳,126.0,inf,1172
福島県,男性,40～44歳,110.0,126.0,1992
福島県,男性,40～44歳,100.0,110.0,6254
福島県,男性,40～44歳,0.0,100.0,22097
茨城県,男性,40～44歳,126.0,inf,1626
茨城県,男性,40～44歳,110.0,126.0,3063
茨城県,男性,40～44歳,100.0,110.0,9386
茨城県,男性,40～44歳,0.0,100.0,31715
栃木県,男性,40～44歳,126.0,inf,1154
栃木県,男性,40～44歳,110.0,126.0,1829
栃木県,男性,40～44歳,100.0,110.0,5937
栃木県,男性,40～44歳,0.0,100.0,26256
群馬県,男性,40～44歳,126.0,inf,1105
群馬県,男性,40～44歳,110.0,126.0,2044
群馬県,男性,40～44歳,100.0,110.0,6353
群馬県,男性,40～44歳,0.0,100.0,22365
埼玉県,男性,40～44歳,126.0,inf,4081
埼玉県,男性,40～44歳,110.0,126.0,6577
埼玉県,男性,40～44歳,100.0,110.0,21790
埼玉県,男性,40～44歳,0.0,100.0,98520
千葉県,男性,40～44歳,126.0,inf,3302
千葉県,男性,40～44歳,110.0,126.0,5455
千葉県,男性,40～44歳,100.0,110.0,18091
千葉県,男性,40～44歳,0.0,100.0,77045
東京都,男性,40～44歳,126.0,inf,8153
東京都,男性,40～44歳,110.0,126.0,14205
東京都,男性,40～44歳,100.0,110.0,49537
東京都,男性,40～44歳,0.0,100.0,220144
神奈川県,男性,40～44歳,126.0,inf,4994
神奈川県,男性,40～44歳,110.0,126.0,8509
神奈川県,男性,40～44歳,100.0,110.0,30173
神奈川県,男性,40～44歳,0.0,100.0,126647
新潟県,男性,40～44歳,126.0,inf,1119
新潟県,男性,40～44歳,110.0,126.0,1957
新潟県,男性,40～44歳,100.0,110.0,6765
新潟県,男性,40～44歳,0.0,100.0,28973
富山県,男性,40～44歳,126.0,inf,597
富山県,男性,40～44歳,110.0,126.0,1148
富山県,男性,40～44歳,100.0,110.0,4078
富山県,男性,40～44歳,0.0,100.0,11951
石川県,男性,40～44歳,126.0,inf,497
石川県,男性,40～44歳,110.0,126.0,962
石川県,男性,40～44歳,100.0,110.0,3325
石川県,男性,40～44歳,0.0,100.0,12778
福井県,男性,40～44歳,126.0,inf,285
福井県,男性,40～44歳,110.0,126.0,593
福井県,男性,40～44歳,100.0,110.0,2068
福井県,男性,40～44歳,0.0,100.0,7306
山梨県,男性,40～44歳,126.0,inf,412
山梨県,男性,40～44歳,110.0,126.0,748
山梨県,男性,40～44歳,100.0,110.0,2602
山梨県,男性,40～44歳,0.0,100.0,10006
長野県,男性,40～44歳,126.0,inf,862
長野県,男性,40～44歳,110.0,126.0,1980
長野県,男性,40～44歳,100.0,110.0,6883
長野県,男性,40～44歳,0.0,100.0,24189
岐阜県,男性,40～44歳,126.0,inf,778
岐阜県,男性,40～44歳,110.0,126.0,1256
岐阜県,男性,40～44歳,100.0,110.0,4593
岐阜県,男性,40～44歳,0.0,100.0,23937
静岡県,男性,40～44歳,126.0,inf,2029
静岡県,男性,40～44歳,110.0,126.0,3748
静岡県,男性,40～44歳,100.0,110.0,13265
静岡県,男性,40～44歳,0.0,100.0,48705
愛知県,男性,40～44歳,126.0,inf,3647
愛知県,男性,40～44歳,110.0,126.0,6203
愛知県,男性,40～44歳,100.0,110.0,22353
愛知県,男性,40～44歳,0.0,100.0,104251
三重県,男性,40～44歳,126.0,inf,891
三重県,男性,40～44歳,110.0,126.0,1760
三重県,男性,40～44歳,100.0,110.0,5802
三重県,男性,40～44歳,0.0,100.0,20343
滋賀県,男性,40～44歳,126.0,inf,503
滋賀県,男性,40～44歳,110.0,126.0,889
滋賀県,男性,40～44歳,100.0,110.0,3173
滋賀県,男性,40～44歳,0.0,100.0,17356
京都府,男性,40～44歳,126.0,inf,871
京都府,男性,40～44歳,110.0,126.0,1585
京都府,男性,40～44歳,100.0,110.0,5667
京都府,男性,40～44歳,0.0,100.0,28501
大阪府,男性,40～44歳,126.0,inf,3726
大阪府,男性,40～44歳,110.0,126.0,6285
大阪府,男性,40～44歳,100.0,110.0,21616
