都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,90.0,inf,24119
北海道,男性,40～44歳,85.0,90.0,14323
北海道,男性,40～44歳,0.0,85.0,43704
青森県,男性,40～44歳,90.0,inf,6835
青森県,男性,40～44歳,85.0,90.0,3819
青森県,男性,40～44歳,0.0,85.0,11079
岩手県,男性,40～44歳,90.0,inf,6629
岩手県,男性,40～44歳,85.0,90.0,4122
岩手県,男性,40～44歳,0.0,85.0,13244
宮城県,男性,40～44歳,90.0,inf,14508
宮城県,男性,40～44歳,85.0,90.0,8604
宮城県,男性,40～44歳,0.0,85.0,25535
秋田県,男性,40～44歳,90.0,inf,5227
秋田県,男性,40～44歳,85.0,90.0,3133
秋田県,男性,40～44歳,0.0,85.0,8853
山形県,男性,40～44歳,90.0,inf,6168
山形県,男性,40～44歳,85.0,90.0,3902
山形県,男性,40～44歳,0.0,85.0,13511
福島県,男性,40～44歳,90.0,inf,10283
福島県,男性,40～44歳,85.0,90.0,6158
福島県,男性,40～44歳,0.0,85.0,18656
茨城県,男性,40～44歳,90.0,inf,16956
茨城県,男性,40～44歳,85.0,90.0,9951
茨城県,男性,40～44歳,0.0,85.0,30002
栃木県,男性,40～44歳,90.0,inf,12249
栃木県,男性,40～44歳,85.0,90.0,7333
栃木県,男性,40～44歳,0.0,85.0,21698
群馬県,男性,40～44歳,90.0,inf,10754
群馬県,男性,40～44歳,85.0,90.0,6512
群馬県,男性,40～44歳,0.0,85.0,20333
埼玉県,男性,40～44歳,90.0,inf,41403
埼玉県,男性,40～44歳,85.0,90.0,26618
埼玉県,男性,40～44歳,0.0,85.0,79480
千葉県,男性,40～44歳,90.0,inf,35788
千葉県,男性,40～44歳,85.0,90.0,21686
千葉県,男性,40～44歳,0.0,85.0,63898
東京都,男性,40～44歳,90.0,inf,85269
東京都,男性,40～44歳,85.0,90.0,57758
東京都,男性,40～44歳,0.0,85.0,178633
神奈川県,男性,40～44歳,90.0,inf,51435
神奈川県,男性,40～44歳,85.0,90.0,34322
神奈川県,男性,40～44歳,0.0,85.0,105943
新潟県,男性,40～44歳,90.0,inf,11084
新潟県,男性,40～44歳,85.0,90.0,7457
新潟県,男性,40～44歳,0.0,85.0,28375
富山県,男性,40～44歳,90.0,inf,5860
富山県,男性,40～44歳,85.0,90.0,3814
富山県,男性,40～44歳,0.0,85.0,12802
石川県,男性,40～44歳,90.0,inf,5957
石川県,男性,40～44歳,85.0,90.0,4007
石川県,男性,40～44歳,0.0,85.0,13036
福井県,男性,40～44歳,90.0,inf,4026
福井県,男性,40～44歳,85.0,90.0,2852
福井県,男性,40～44歳,0.0,85.0,8897
山梨県,男性,40～44歳,90.0,inf,4351
山梨県,男性,40～44歳,85.0,90.0,2688
山梨県,男性,40～44歳,0.0,85.0,8681
