都道府県,性別,年齢区分,下限値,上限値,人数
北海道,男性,40～44歳,2.5,inf,-
北海道,男性,40～44歳,2.0,2.5,-
北海道,男性,40～44歳,1.5,2.0,-
北海道,男性,40～44歳,1.0,1.5,1418
北海道,男性,40～44歳,0.0,1.0,8091
青森県,男性,40～44歳,2.5,inf,-
青森県,男性,40～44歳,2.0,2.5,-
青森県,男性,40～44歳,1.5,2.0,-
青森県,男性,40～44歳,1.0,1.5,362
青森県,男性,40～44歳,0.0,1.0,2002
岩手県,男性,40～44歳,2.5,inf,-
岩手県,男性,40～44歳,2.0,2.5,-
岩手県,男性,40～44歳,1.5,2.0,-
岩手県,男性,40～44歳,1.0,1.5,415
岩手県,男性,40～44歳,0.0,1.0,2085
宮城県,男性,40～44歳,2.5,inf,-
宮城県,男性,40～44歳,2.0,2.5,-
宮城県,男性,40～44歳,1.5,2.0,-
宮城県,男性,40～44歳,1.0,1.5,606
宮城県,男性,40～44歳,0.0,1.0,4366
秋田県,男性,40～44歳,2.5,inf,-
秋田県,男性,40～44歳,2.0,2.5,-
秋田県,男性,40～44歳,1.5,2.0,-
秋田県,男性,40～44歳,1.0,1.5,238
秋田県,男性,40～44歳,0.0,1.0,1356
山形県,男性,40～44歳,2.5,inf,-
山形県,男性,40～44歳,2.0,2.5,-
山形県,男性,40～44歳,1.5,2.0,-
山形県,男性,40～44歳,1.0,1.5,217
山形県,男性,40～44歳,0.0,1.0,1494
福島県,男性,40～44歳,2.5,inf,-
福島県,男性,40～44歳,2.0,2.5,-
福島県,男性,40～44歳,1.5,2.0,-
福島県,男性,40～44歳,1.0,1.5,338
福島県,男性,40～44歳,0.0,1.0,2587
茨城県,男性,40～44歳,2.5,inf,-
茨城県,男性,40～44歳,2.0,2.5,-
茨城県,男性,40～44歳,1.5,2.0,-
茨城県,男性,40～44歳,1.0,1.5,934
茨城県,男性,40～44歳,0.0,1.0,5682
栃木県,男性,40～44歳,2.5,inf,-
栃木県,男性,40～44歳,2.0,2.5,-
栃木県,男性,40～44歳,1.5,2.0,-
栃木県,男性,40～44歳,1.0,1.5,436
栃木県,男性,40～44歳,0.0,1.0,3258
群馬県,男性,40～44歳,2.5,inf,-
群馬県,男性,40～44歳,2.0,2.5,-
群馬県,男性,40～44歳,1.5,2.0,-
群馬県,男性,40～44歳,1.0,1.5,502
群馬県,男性,40～44歳,0.0,1.0,2081
埼玉県,男性,40～44歳,2.5,inf,-
埼玉県,男性,40～44歳,2.0,2.5,-
埼玉県,男性,40～44歳,1.5,2.0,10
埼玉県,男性,40～44歳,1.0,1.5,1574
埼玉県,男性,40～44歳,0.0,1.0,10999
千葉県,男性,40～44歳,2.5,inf,-
千葉県,男性,40～44歳,2.0,2.5,-
千葉県,男性,40～44歳,1.5,2.0,-
千葉県,男性,40～44歳,1.0,1.5,1486
千葉県,男性,40～44歳,0.0,1.0,10457
東京都,男性,40～44歳,2.5,inf,25
東京都,男性,40～44歳,2.0,2.5,-
